500 24.57 12.64 21.5
600 27.87 12.77 27.81
700 33.21 15.15 34.97
800 41.67 22.54 38.35
900 47.29 23.24 42.52
1000 49.39 26.18 50.23
1100 52.62 24.79 55.47
1200 59.38 27.89 60.59
1300 67.27 30.48 67.4
1400 66.28 34.23 75.4
1500 72.27 36.26 73.93
1600 80.18 38.06 81.15
1700 86.2 41.67 91.78
1800 92.88 46.27 85.89
1900 98.52 46.93 97.63
2000 103.5 49.67 104.22
2100 108.73 54.17 102.57
2200 110.66 57.17 113
2300 118.03 60.13 125.62
2400 122.46 60.59 136.74
2500 130.83 64.06 138.45
2600 138.53 67.52 146.44
2700 141.5 69.83 146.87
2800 143.49 72.2 158.67
2900 153.5 70.84 151.63
3000 151.51 76.05 162.37
3100 163.68 76.97 170.52
3200 170.21 79.14 176.97
3300 168.52 89.4 173.77
3400 173.8 88.09 197.8
3500 184.34 90.09 188.14
3600 181.88 91.37 194.16
3700 199.02 96.99 193.89
3800 196.08 101.2 195.15
3900 223.3 101.26 201.19
4000 207.9 101.76 214.52
4100 216.46 109.04 227.28
4200 217.95 107.4 231.14
4300 224.59 111.86 238.79
4400 226.38 116.36 243.1
4500 237.62 116.52 248.41
4600 250.19 117.02 262.82
4700 244.11 120.28 273.16
4800 251.06 130.43 283.3
4900 254.66 129.9 281.43
5000 263.56 133.14 295.79
5100 272.21 133.91 297.47
5200 265.59 140.09 295
5300 281.12 142.31 307.92
5400 281.9 148 323.98
5500 293.58 149.96 320.4
5600 299.08 145.47 324.75
5700 305.74 149.43 340.99
5800 311.23 161.7 333.8
5900 335.82 173.43 361.98
6000 324.65 158.42 339.93
6100 324.66 165.81 351.71
6200 326.45 165.87 345.03
6300 336.28 167.28 357.59
6400 344.13 176.74 359.75
6500 355.87 180.8 391.23
6600 412.27 205.04 376.34
6700 366.54 192.67 389.05
6800 362.82 185.19 382.25
6900 371.12 192.15 398.07
7000 371.96 189.93 390.21
7100 374.55 192.33 383.14
7200 389.42 203.93 391.55
7300 390.56 208.69 426.86
7400 389.06 199.59 411.11
7500 397.6 200.74 406.65
7600 403.95 211.02 425.21
7700 428.28 208.37 424.16
7800 413.63 211.33 427.09
7900 419.09 217.58 441.52
8000 428.42 219.36 448.58
8100 435.54 223.24 463.53
8200 440.1 224.92 478.65
8300 449.64 223.98 479.09
8400 451.75 226.49 499.74
8500 463.18 231.59 502.21
8600 466.59 237.93 495.62
8700 472.32 242.47 513.93
8800 475.49 232.98 522.49
8900 489.04 254.97 524.55
9000 499.94 262.03 619.57
9100 513.15 256.72 544.99
9200 509.43 258.6 559.59
9300 500.06 253.83 567.32
9400 527.61 266.7 569.15
9500 510.55 262.33 574.08
9600 528.93 266.11 585.72
9700 524.58 273.33 593.44
9800 529.38 271.65 620.09
9900 562.85 296.92 642.61
10000 570.92 289.39 633.69
