500 23.32 12.17 20.53
600 30.84 15.73 27.37
700 39.17 21.24 41.01
800 41.46 26.96 53.25
900 47.97 34.78 65.17
1000 53.61 37.93 81.89
1100 64.07 40.56 126.55
1200 66.77 48.38 141.83
1300 73.27 55.54 133.98
1400 76.17 61.49 134.75
1500 82.13 62 149.68
1600 90.76 64.79 144.07
1700 96.57 70.44 166.01
1800 100.01 76.89 237.43
1900 104.64 81.32 236.36
2000 112.57 84.78 278.54
2100 118.65 96.33 275.26
2200 121.63 96.97 345.01
2300 127.96 107.3 361.75
2400 137.6 108.83 379.07
2500 145.56 117.7 403.67
2600 161.88 126.38 392.36
2700 151.1 124.98 372.84
2800 172.27 128.47 301.85
2900 167.01 134.09 314.92
3000 176.51 140.83 450.66
3100 194.39 144.58 444.06
3200 190.78 161.27 476.42
3300 198.93 153.08 477.61
3400 208.52 154.32 496.34
3500 204.16 161.88 553.97
3600 211.97 169.15 589.12
3700 221.44 175.75 615.53
3800 225.6 198.01 667.67
3900 238.4 179.55 569.05
4000 235.89 188.28 584.5
4100 255.59 197.26 558.11
4200 284.96 199.26 625.79
4300 258.69 212.21 547.2
4400 271.62 209.74 529.01
4500 268.45 214.93 578.24
4600 288.8 219.23 596.92
4700 275.3 222.97 702.94
4800 286.99 229.41 908
4900 288.63 231.93 834.55
5000 298.23 241.83 879.18
5100 311.81 243.01 939.25
5200 319 247.31 964.19
5300 323.58 251.09 1034.94
5400 320.09 250.81 858.35
5500 326.02 257.38 870.82
5600 342.62 255.77 843.38
5700 331.91 260.54 747.4
5800 347.47 269.93 685.11
5900 349.42 280.3 667.63
6000 352.56 294.65 753.66
6100 363.07 276.88 737.55
6200 363.16 284.28 838.48
6300 382.88 301 661.47
6400 394.96 287.71 743.59
6500 405.85 327.3 842.09
6600 412 304.12 875.36
6700 417.66 304.3 799.18
6800 408.58 329.87 1049.13
6900 421.56 320.42 776.67
7000 420.47 357.79 757.8
7100 430.82 341.96 1334.1
7200 440.46 341.43 1283.59
7300 436.1 338.07 1352.38
7400 451.43 352.86 1329.87
7500 462.54 366.59 1120.87
7600 467.52 369.04 1109.19
7700 486.85 363.2 1038
7800 475.21 404.57 1179.32
7900 480.48 385.7 1276.87
8000 498.05 407.86 1200.54
8100 492.19 393.02 1087.52
8200 494.76 395.76 1183.76
8300 535.06 410.95 1523.41
8400 542.61 426.31 1444.37
8500 514.44 418.22 1230.33
8600 551.44 425.48 1467.43
8700 531.18 437.51 1660.73
8800 550.27 509.68 1736.33
8900 563.68 472.4 1639.36
9000 593.48 466.21 1425.78
9100 535.87 476.12 1203.96
9200 554.59 498.07 1466.85
9300 545.89 459.96 1557.27
9400 544.77 463.1 1385.96
9500 533.94 382.7 1274.37
9600 515.32 420.56 1697.79
9700 523.35 365.85 1134.38
9800 531.36 376.59 1138.71
9900 564.96 322.3 597.45
10000 532.11 266.42 581.9
